
# Surface 0 of 1 surfaces

# Curve title: ""pgfplots_contourtmp0.dat""
# Contour 0, label:      0.4
-1.14407 -0.166674 -0.3 
-1.0791 -0.33334 -0.3 
-1 -0.447455 -0.3 
-0.940434 -0.500006 -0.3 
-0.833338 -0.570229 -0.3 
-0.666672 -0.593378 -0.3 
-0.500006 -0.510339 -0.3 
-0.4922 -0.500006 -0.3 
-0.40083 -0.33334 -0.3 
-0.351822 -0.166674 -0.3 
-0.336376 -8.3e-06 -0.3 
-0.351822  0.166658 -0.3 
-0.40083  0.333324 -0.3 
-0.4922  0.49999 -0.3 
-0.500006  0.510323 -0.3 
-0.666672  0.593362 -0.3 
-0.833338  0.570212 -0.3 


# Contour 8, label:     -0.4
-0.833338  0.191228 -0.4 
-0.850291  0.166658 -0.4 
-0.889173 -8.3e-06 -0.4 
-0.850291 -0.166674 -0.4 
-0.833338 -0.191245 -0.4 
-0.666672 -0.246001 -0.4 
-0.595416 -0.166674 -0.4 
-0.546071 -8.3e-06 -0.4 
-0.595416  0.166658 -0.4 
-0.666672  0.245984 -0.4 
-0.833338  0.191228 -0.4 

